ResumeText,JobDescription,Label
tensorflow django pandas react,"Data Engineer with Python, Spark, and Hadoop",48
ml r nlp,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",53
asp.net asp.net core angular mvc java java,".NET Core developer required with strong C#, Entity Framework, and Web API skills",70
css typescript angular vue react,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",83
testng selenium qa grafana tensorflow,"SDET required with Java, TestNG, and JUnit",49
hibernate microservices spring react manual testing vue react,Hiring full stack Java developer with React and Spring Boot,70
kafka hibernate spring entity framework flutter kotlin,"Backend Java engineer required with Spring, Kafka, and MySQL skills",51
entity framework azure asp.net core asp.net angular ci/cd,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",81
django python tensorflow pandas hadoop scikit-learn nlp prometheus,"Data Engineer with Python, Spark, and Hadoop",88
sql mvc entity framework asp.net,".NET Core developer required with strong C#, Entity Framework, and Web API skills",58
automation manual testing cypress agile django prometheus,"SDET required with Java, TestNG, and JUnit",55
ios objective-c react native android react azure,"iOS Engineer required with Swift, Objective-C, and UIKit",66
kafka spring boot microservices react machine learning,"Backend Java engineer required with Spring, Kafka, and MySQL skills",70
azure angular asp.net mvc azure css grafana,".NET Core developer required with strong C#, Entity Framework, and Web API skills",63
prometheus grafana terraform kubernetes ci/cd spark css deep learning,"Hiring SRE with Kubernetes, Prometheus, and Grafana",77
ios react native kotlin android objective-c swift machine learning pandas,"iOS Engineer required with Swift, Objective-C, and UIKit",91
react html javascript vue css typescript python aws react,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",90
manual testing selenium cypress qa,"SDET required with Java, TestNG, and JUnit",65
entity framework asp.net core azure c# mvc web api hibernate,".NET Core developer required with strong C#, Entity Framework, and Web API skills",86
asp.net core asp.net azure c# mvc swift,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",78
hibernate react java sql cypress python,"Java Developer with Spring Boot, Hibernate, and Microservices experience",43
stakeholder management pmp business analysis scrum agile helm objective-c machine learning,"Product Manager with Agile, Scrum, and stakeholder management",80
machine learning ml deep learning vue react,"Data Scientist with Python, R, and machine learning expertise",54
react native objective-c swift android flutter java ci/cd,"iOS Engineer required with Swift, Objective-C, and UIKit",86
selenium cypress automation,Hiring Software Tester with manual and automation testing skills,45
ml deep learning nlp machine learning tensorflow,"ML Engineer required with scikit-learn, TensorFlow, and big data",71
html angular javascript vue typescript,"Frontend Developer with React, Angular, and JavaScript expertise",73
stakeholder management product management scrum agile pytorch,Hiring Business Analyst with strong requirements gathering skills,62
terraform grafana kubernetes nlp objective-c html,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",49
r nlp deep learning scikit-learn machine learning pytorch hibernate flask vue,"Data Scientist with Python, R, and machine learning expertise",88
product management scrum stakeholder management business analysis nlp helm,Hiring Business Analyst with strong requirements gathering skills,69
cypress manual testing automation junit,"QA Engineer with Selenium, Cypress, and test automation experience",70
deep learning pytorch python r nlp ml java testng,"ML Engineer required with scikit-learn, TensorFlow, and big data",86
pandas scikit-learn python hadoop,"Python Developer with Django, Flask, and REST APIs",66
angular html css ci/cd ml objective-c,Hiring web developer skilled in modern frontend frameworks,50
azure c# mvc asp.net core,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",69
r machine learning nlp pytorch tensorflow ml css angular,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",85
android kotlin objective-c java react native pmp,"iOS Engineer required with Swift, Objective-C, and UIKit",85
stakeholder management scrum product management business analysis pmp css scikit-learn,"Product Manager with Agile, Scrum, and stakeholder management",70
kotlin java react native objective-c android hibernate,"iOS Engineer required with Swift, Objective-C, and UIKit",75
react native kotlin objective-c flutter flask business analysis react,Hiring cross-platform mobile developer with Flutter and React Native,57
spring react microservices jenkins,"Backend Java engineer required with Spring, Kafka, and MySQL skills",43
sql asp.net asp.net core angular c# web api kafka agile,".NET Core developer required with strong C#, Entity Framework, and Web API skills",92
jenkins kubernetes grafana aws prometheus product management pmp machine learning,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",78
cypress manual testing junit automation selenium qa mvc,"QA Engineer with Selenium, Cypress, and test automation experience",95
tensorflow nlp python pytorch,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",58
pmp stakeholder management business analysis agile scrum product management kotlin helm spring boot,"Product Manager with Agile, Scrum, and stakeholder management",85
tensorflow python pytorch agile business analysis,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",53
hadoop flask pandas scikit-learn,"Data Engineer with Python, Spark, and Hadoop",60
angular mvc asp.net azure entity framework qa,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",73
spring boot java spring scrum flutter aws,"Backend Java engineer required with Spring, Kafka, and MySQL skills",45
mysql spring boot java spring vue tensorflow,"Backend Java engineer required with Spring, Kafka, and MySQL skills",57
hibernate kafka microservices agile,"Java Developer with Spring Boot, Hibernate, and Microservices experience",42
ci/cd kubernetes grafana jenkins aws prometheus nlp tensorflow product management,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",100
terraform grafana jenkins prometheus c#,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",58
aws azure ci/cd kubernetes gcp,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",72
aws grafana jenkins docker prometheus agile microservices,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",78
ml machine learning r python nlp scikit-learn django,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",85
microservices mysql react kafka spring java,Hiring full stack Java developer with React and Spring Boot,94
manual testing testng qa cypress selenium nlp angular docker,"QA Engineer with Selenium, Cypress, and test automation experience",74
nlp deep learning r ml scikit-learn kafka jenkins hibernate,"ML Engineer required with scikit-learn, TensorFlow, and big data",83
javascript angular html react typescript agile react kubernetes,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",73
scrum business analysis stakeholder management aws kafka testng,Hiring Business Analyst with strong requirements gathering skills,54
helm kubernetes gcp azure ci/cd terraform cypress swift web api,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",88
pandas hadoop django flask spark spring,"Data Engineer with Python, Spark, and Hadoop",77
ci/cd aws docker jenkins grafana mvc spring boot,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",84
ci/cd jenkins terraform grafana kubernetes gcp spring spark,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",74
docker ci/cd prometheus,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",40
flask pandas django scikit-learn,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",67
asp.net core azure mvc sql asp.net c# ios,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",94
ci/cd grafana prometheus aws terraform junit angular nlp,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",71
terraform kubernetes azure ci/cd,Hiring Solutions Architect for AWS and Kubernetes deployments,62
kotlin react native swift scikit-learn python spark,Hiring cross-platform mobile developer with Flutter and React Native,45
html typescript css spark objective-c spring boot,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",44
pytorch ml r scikit-learn machine learning gcp testng,"ML Engineer required with scikit-learn, TensorFlow, and big data",84
tensorflow python hadoop pandas spark,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",71
entity framework web api sql mvc,".NET Core developer required with strong C#, Entity Framework, and Web API skills",60
c# angular azure asp.net core mysql scikit-learn,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",63
html javascript react angular asp.net core spark,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",66
angular c# entity framework web api,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",69
aws helm gcp,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",48
ci/cd gcp kubernetes aws azure flutter python,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",83
terraform kubernetes ci/cd helm aws azure,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",85
sql web api c# testng terraform aws,".NET Core developer required with strong C#, Entity Framework, and Web API skills",49
asp.net core azure mvc angular scikit-learn pytorch,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",62
testng automation cypress manual testing selenium junit,"SDET required with Java, TestNG, and JUnit",99
mvc asp.net azure sql entity framework angular junit prometheus terraform,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",91
nlp machine learning pytorch,"Data Scientist with Python, R, and machine learning expertise",40
jenkins aws docker hibernate asp.net core,"Hiring SRE with Kubernetes, Prometheus, and Grafana",44
kotlin swift android scrum,"iOS Engineer required with Swift, Objective-C, and UIKit",55
android swift ios,Hiring cross-platform mobile developer with Flutter and React Native,47
html react vue css angular javascript spark mvc,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",88
stakeholder management scrum product management agile business analysis pmp vue kubernetes manual testing,"Product Manager with Agile, Scrum, and stakeholder management",94
asp.net core sql azure,".NET Core developer required with strong C#, Entity Framework, and Web API skills",44
java spring react microservices aws css,"Java Developer with Spring Boot, Hibernate, and Microservices experience",60
machine learning deep learning scikit-learn pytorch r python c#,"ML Engineer required with scikit-learn, TensorFlow, and big data",85
flask django scikit-learn spark entity framework machine learning css,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",56
tensorflow scikit-learn django hadoop,"Python Developer with Django, Flask, and REST APIs",64
react hibernate kafka microservices spring mysql,"Java Developer with Spring Boot, Hibernate, and Microservices experience",96
mvc asp.net sql cypress business analysis microservices,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",47
ios react native flutter objective-c spring boot helm selenium,Android Developer with Kotlin and Java experience,59
html typescript vue react javascript css terraform,"Frontend Developer with React, Angular, and JavaScript expertise",95
cypress automation manual testing angular,Hiring Software Tester with manual and automation testing skills,49
ci/cd aws docker jenkins grafana prometheus ml web api,"Hiring SRE with Kubernetes, Prometheus, and Grafana",96
microservices kafka java react mysql r manual testing,Hiring full stack Java developer with React and Spring Boot,84
kubernetes helm gcp aws,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",67
react typescript html terraform azure testng,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",44
terraform jenkins kubernetes ci/cd aws spring boot,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",83
mysql react hibernate spring boot spring microservices,Hiring full stack Java developer with React and Spring Boot,92
react html typescript ci/cd selenium machine learning,Hiring web developer skilled in modern frontend frameworks,51
objective-c android ios swift react native flutter pytorch,Hiring cross-platform mobile developer with Flutter and React Native,85
stakeholder management business analysis pmp product management gcp web api,Hiring Business Analyst with strong requirements gathering skills,56
java kotlin objective-c swift,Android Developer with Kotlin and Java experience,65
aws grafana kubernetes agile,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",42
c# angular asp.net azure web api sql helm gcp,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",87
css html vue typescript,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",67
asp.net core mvc azure web api asp.net sql,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",100
spring react microservices mysql java spring boot prometheus,"Java Developer with Spring Boot, Hibernate, and Microservices experience",96
django pandas spark scikit-learn python pytorch sql spring boot,"Data Engineer with Python, Spark, and Hadoop",80
html react vue angular typescript css hibernate,"Frontend Developer with React, Angular, and JavaScript expertise",91
jenkins grafana prometheus docker aws ci/cd react,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",86
pandas hadoop flask django,"Data Engineer with Python, Spark, and Hadoop",59
r machine learning nlp testng,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",45
python deep learning ml nlp r scikit-learn typescript ci/cd scikit-learn,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",89
machine learning deep learning tensorflow,"Data Scientist with Python, R, and machine learning expertise",44
product management pmp agile objective-c sql css,Project Manager required with PMP and Agile methodologies,53
ci/cd docker grafana jenkins css,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",68
spring boot hibernate kafka java mysql helm html,"Java Developer with Spring Boot, Hibernate, and Microservices experience",80
testng selenium automation cypress manual testing,"QA Engineer with Selenium, Cypress, and test automation experience",75
pandas python tensorflow pytorch automation terraform,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",41
helm kubernetes aws ci/cd azure stakeholder management qa agile,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",84
junit selenium cypress testng manual testing qa ml,"QA Engineer with Selenium, Cypress, and test automation experience",90
ci/cd kubernetes grafana jenkins aws asp.net core aws manual testing,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",74
azure gcp ci/cd aws terraform kubernetes mvc scikit-learn,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",92
django pandas hadoop python flask selenium c# testng,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",77
docker ci/cd aws jenkins prometheus terraform,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",88
terraform aws docker kubernetes prometheus,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",78
angular asp.net entity framework sql ci/cd,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",62
azure entity framework asp.net sql web api mvc spark,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",94
flask django scikit-learn spark hadoop kubernetes hibernate r,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",75
kotlin android swift react native objective-c ios gcp react,"iOS Engineer required with Swift, Objective-C, and UIKit",99
entity framework web api asp.net mvc scikit-learn,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",55
docker prometheus jenkins terraform grafana pmp,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",85
business analysis product management stakeholder management agile pmp flask kubernetes sql,"Product Manager with Agile, Scrum, and stakeholder management",77
html javascript css react typescript objective-c,"Frontend Developer with React, Angular, and JavaScript expertise",70
mvc asp.net core angular ci/cd kafka,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",43
html css angular,Hiring web developer skilled in modern frontend frameworks,41
html angular css vue javascript react deep learning,"Frontend Developer with React, Angular, and JavaScript expertise",96
hibernate spring boot mysql kafka microservices product management,"Backend Java engineer required with Spring, Kafka, and MySQL skills",72
kubernetes aws helm azure ci/cd entity framework kafka,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",82
objective-c kotlin swift react native android java,Android Developer with Kotlin and Java experience,98
pmp scrum product management stakeholder management agile react ios java,Hiring Business Analyst with strong requirements gathering skills,83
microservices mysql java spring hibernate react,"Backend Java engineer required with Spring, Kafka, and MySQL skills",91
scikit-learn tensorflow spark business analysis machine learning,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",47
kubernetes helm ci/cd azure aws terraform terraform,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",100
react css html typescript react native,Hiring web developer skilled in modern frontend frameworks,63
kafka java mysql microservices hibernate spring boot nlp agile web api,Hiring full stack Java developer with React and Spring Boot,94
kubernetes aws azure ci/cd terraform helm ci/cd aws html,Hiring Solutions Architect for AWS and Kubernetes deployments,89
web api asp.net asp.net core angular,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",56
django python scikit-learn hadoop pandas kotlin selenium,"Python Developer with Django, Flask, and REST APIs",81
grafana jenkins kubernetes docker python ci/cd react native,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",57
tensorflow python flask hadoop django product management,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",70
c# asp.net azure mvc scikit-learn css,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",68
kotlin react native objective-c java android kubernetes javascript spark,Android Developer with Kotlin and Java experience,73
business analysis scrum stakeholder management pmp product management,Project Manager required with PMP and Agile methodologies,72
junit cypress selenium testng qa web api,"QA Engineer with Selenium, Cypress, and test automation experience",74
pandas hadoop scikit-learn python pmp java,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",61
azure asp.net sql deep learning stakeholder management,".NET Core developer required with strong C#, Entity Framework, and Web API skills",45
nlp tensorflow ml spring cypress pandas,"Data Scientist with Python, R, and machine learning expertise",47
scikit-learn tensorflow deep learning pytorch cypress,"Data Scientist with Python, R, and machine learning expertise",67
mvc entity framework asp.net c# mysql azure,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",62
microservices hibernate java manual testing,Hiring full stack Java developer with React and Spring Boot,50
mvc entity framework angular asp.net core c# sql objective-c r java,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",89
nlp python ml r cypress scrum sql,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",58
pmp business analysis scrum agile,Project Manager required with PMP and Agile methodologies,55
selenium qa junit automation manual testing cypress,"QA Engineer with Selenium, Cypress, and test automation experience",95
helm gcp kubernetes azure ci/cd tensorflow,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",82
business analysis pmp stakeholder management scrum aws,"Product Manager with Agile, Scrum, and stakeholder management",68
typescript vue javascript pmp flutter,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",51
stakeholder management product management pmp business analysis agile scrum qa,Project Manager required with PMP and Agile methodologies,87
java hibernate mysql spring spring boot r,"Backend Java engineer required with Spring, Kafka, and MySQL skills",76
automation cypress selenium testng qa junit,"QA Engineer with Selenium, Cypress, and test automation experience",88
cypress selenium junit testng qa manual testing azure vue javascript,"QA Engineer with Selenium, Cypress, and test automation experience",100
pytorch scikit-learn python deep learning machine learning selenium,"Data Scientist with Python, R, and machine learning expertise",82
qa automation testng spark nlp,Hiring Software Tester with manual and automation testing skills,52
swift kotlin java,Hiring cross-platform mobile developer with Flutter and React Native,42
python ml scikit-learn deep learning jenkins automation,"Data Scientist with Python, R, and machine learning expertise",64
angular react vue html css typescript junit ios azure,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",100
terraform ci/cd jenkins spring boot junit,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",55
flask tensorflow spark hadoop scikit-learn typescript ci/cd,"Data Engineer with Python, Spark, and Hadoop",78
spring boot spring mysql hibernate react kafka aws flask,Hiring full stack Java developer with React and Spring Boot,99
r ml nlp scikit-learn tensorflow python swift aws azure,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",94
react javascript angular css vue cypress,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",83
manual testing testng qa automation,"SDET required with Java, TestNG, and JUnit",63
kotlin java android,"iOS Engineer required with Swift, Objective-C, and UIKit",42
react spring boot spring microservices hibernate mysql kubernetes django pytorch,Hiring full stack Java developer with React and Spring Boot,99
business analysis pmp stakeholder management prometheus,Project Manager required with PMP and Agile methodologies,46
qa junit testng automation selenium machine learning kotlin,"SDET required with Java, TestNG, and JUnit",76
deep learning pytorch tensorflow flutter prometheus,"ML Engineer required with scikit-learn, TensorFlow, and big data",51
flask spark scikit-learn hadoop tensorflow angular machine learning scikit-learn,"Data Engineer with Python, Spark, and Hadoop",75
kotlin android react native flutter swift kubernetes qa flask,Hiring cross-platform mobile developer with Flutter and React Native,71
junit manual testing selenium cypress testng pandas tensorflow react,"QA Engineer with Selenium, Cypress, and test automation experience",82
terraform kubernetes jenkins aws grafana mvc microservices tensorflow,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",80
cypress manual testing testng qa junit automation spring boot,Hiring Software Tester with manual and automation testing skills,96
objective-c flutter java ci/cd hibernate,Android Developer with Kotlin and Java experience,45
manual testing qa cypress testng junit automation,"SDET required with Java, TestNG, and JUnit",92
aws ci/cd gcp javascript,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",45
microservices spring boot kafka agile typescript java,Hiring full stack Java developer with React and Spring Boot,47
scikit-learn deep learning r tensorflow nlp,"Data Scientist with Python, R, and machine learning expertise",73
react hibernate microservices prometheus jenkins,"Java Developer with Spring Boot, Hibernate, and Microservices experience",43
helm kubernetes aws terraform ci/cd,Hiring Solutions Architect for AWS and Kubernetes deployments,84
azure asp.net core asp.net scikit-learn,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",48
react hibernate java mysql spring,"Java Developer with Spring Boot, Hibernate, and Microservices experience",77
angular react html css javascript python ml,Hiring web developer skilled in modern frontend frameworks,75
tensorflow ml deep learning,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",40
ios android java kotlin grafana java,Android Developer with Kotlin and Java experience,63
css typescript html angular vue azure swift,Hiring web developer skilled in modern frontend frameworks,71
helm kubernetes terraform ci/cd azure gcp prometheus web api pmp,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",96
kubernetes helm terraform azure ci/cd aws android react native,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",86
jenkins grafana aws kubernetes mvc python,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",68
business analysis product management stakeholder management ios,"Product Manager with Agile, Scrum, and stakeholder management",46
microservices react java spring boot scikit-learn,"Java Developer with Spring Boot, Hibernate, and Microservices experience",70
pmp agile scrum stakeholder management gcp,"Product Manager with Agile, Scrum, and stakeholder management",68
nlp scikit-learn machine learning tensorflow kubernetes c#,"Data Scientist with Python, R, and machine learning expertise",62
android react native ios flutter swift java qa machine learning agile,"iOS Engineer required with Swift, Objective-C, and UIKit",85
kotlin swift java flutter react native android,Hiring cross-platform mobile developer with Flutter and React Native,96
python hadoop scikit-learn flask deep learning,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",59
pytorch nlp r java testng junit,"Data Scientist with Python, R, and machine learning expertise",42
flutter swift react native java ios kotlin selenium,Android Developer with Kotlin and Java experience,100
c# web api angular azure sql asp.net core python testng,".NET Core developer required with strong C#, Entity Framework, and Web API skills",92
tensorflow hadoop spark python,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",57
vue angular css html javascript typescript react pandas,Hiring web developer skilled in modern frontend frameworks,85
deep learning machine learning ml tensorflow pytorch nlp android mvc java,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",87
ml nlp tensorflow r,"Data Scientist with Python, R, and machine learning expertise",59
spring boot kafka microservices spring angular automation hadoop,"Java Developer with Spring Boot, Hibernate, and Microservices experience",62
ml python machine learning scikit-learn swift kotlin,"ML Engineer required with scikit-learn, TensorFlow, and big data",59
tensorflow django hadoop python scikit-learn flask,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",93
aws prometheus jenkins ci/cd grafana microservices tensorflow kubernetes,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",84
nlp deep learning scikit-learn scrum react jenkins,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",53
automation testng cypress junit qa manual testing hibernate mvc kubernetes,Hiring Software Tester with manual and automation testing skills,89
kubernetes aws gcp azure,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",68
web api azure angular css terraform,".NET Core developer required with strong C#, Entity Framework, and Web API skills",47
react native objective-c flutter android kotlin scikit-learn flask,Hiring cross-platform mobile developer with Flutter and React Native,74
asp.net core sql asp.net azure,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",64
selenium automation qa react hadoop kotlin,"SDET required with Java, TestNG, and JUnit",48
nlp r ml junit,"ML Engineer required with scikit-learn, TensorFlow, and big data",41
angular azure web api entity framework,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",58
android react native java flutter objective-c swift,"iOS Engineer required with Swift, Objective-C, and UIKit",93
scikit-learn r nlp deep learning kafka vue docker,"Data Scientist with Python, R, and machine learning expertise",69
javascript react css vue typescript html,Hiring web developer skilled in modern frontend frameworks,89
android flutter kotlin objective-c angular,"iOS Engineer required with Swift, Objective-C, and UIKit",70
pmp stakeholder management agile scikit-learn,"Product Manager with Agile, Scrum, and stakeholder management",40
css angular html vue ios,Hiring web developer skilled in modern frontend frameworks,60
react spring boot java microservices hibernate terraform scikit-learn,Hiring full stack Java developer with React and Spring Boot,70
